timestamp,label,num_clients,messages_per_client,total_messages_sent,total_messages_confirmed,connect_success,connect_failed,avg_connect_latency_ms,avg_rtt_latency_ms,p95_rtt_latency_ms,throughput_msgs_per_sec,duration_sec,cpu_percent_avg,cpu_percent_peak,mem_mb_avg,mem_mb_peak
2026-07-19 20:49:04,before,5,60,300,300,5,0,22.78,8.04,41.68,14.74,20.36,0.88,6.0,18.67,18.68
2026-07-19 20:50:00,before,8,60,360,360,6,2,43.79,6.79,41.55,17.64,20.41,1.22,12.0,18.98,18.99
2026-07-19 20:54:05,before,10,60,60,60,1,9,23.52,1.35,0.65,2.95,20.36,0.49,14.0,18.74,18.74
2026-07-19 21:11:16,after,5,60,300,300,5,0,31.4,2.73,2.38,14.72,20.38,0.93,10.0,21.77,21.77
2026-07-19 21:12:05,after,8,60,480,480,8,0,40.81,1.5,1.22,23.53,20.4,1.46,14.0,22.04,22.04
2026-07-19 21:12:40,after,10,60,600,600,10,0,37.01,1.93,1.31,29.42,20.39,1.76,12.0,22.24,22.24
